[sample]
name = "InAs-609-1_2c"
description = "02.M H2SO4"
area = 0.1
epsilon = 15.15

[settings]
FunctionMode = "Cp-G"
LevelAC = 0.01
G/2pif = FALSE

[data]
#Temp. (K)	#Bias (V)	#C 1000000 Hz 	#G 1000000 Hz 
3E+2	-7.5E-1	1.00891E-11	5.89798E-3
3E+2	-7E-1	1.05233E-11	5.89708E-3
3E+2	-6.5E-1	1.13652E-11	5.89913E-3
3E+2	-6E-1	1.19925E-11	5.8967E-3
3E+2	-5.5E-1	1.37135E-11	5.89689E-3
3E+2	-5E-1	1.59314E-11	5.89792E-3
3E+2	-4.5E-1	2.08578E-11	5.8961E-3
3E+2	-4E-1	3.18072E-11	5.89088E-3
3E+2	-3.5E-1	4.79439E-11	5.87796E-3
3E+2	-3E-1	6.07939E-11	5.85935E-3
3E+2	-2.5E-1	6.12292E-11	5.85471E-3
3E+2	-2E-1	5.69255E-11	5.8601E-3
3E+2	-1.5E-1	5.14315E-11	5.86292E-3
3E+2	-1E-1	4.80729E-11	5.86748E-3
3E+2	-5E-2	4.53097E-11	5.8705E-3
