# Volts    uF/cm2
-0.2064 -1.169482e+00
-0.1936 -1.298155e+00
-0.1808 -1.247736e+00
-0.1679 -1.189481e+00
-0.1551 -1.131038e+00
-0.1423 -1.072899e+00
-0.1295 -1.015503e+00
-0.1167 -9.594497e-01
-0.1038 -9.055787e-01
-0.0910 -8.549435e-01
-0.0782 -8.087581e-01
-0.0654 -7.681312e-01
-0.0526 -7.336015e-01
-0.0397 -7.044703e-01
-0.0269 -6.783255e-01
-0.0141 -6.514481e-01
-0.0013 -6.204615e-01
0.0115 -5.849702e-01
0.0244 -5.445664e-01
0.0372 -5.046247e-01
0.0500 -4.661017e-01
0.0628 -4.330466e-01
0.0756 -4.032965e-01
0.0885 -3.779319e-01
0.1013 -3.566159e-01
0.1141 -3.386264e-01
0.1269 -3.255721e-01
0.1397 -3.164175e-01
0.1526 -3.121831e-01
0.1654 -3.123432e-01
0.1782 -3.216660e-01
0.1910 -3.460152e-01
0.2038 -3.874156e-01
0.2167 -4.563524e-01
0.2295 -5.649029e-01
0.2423 -7.276484e-01
0.2551 -9.640163e-01
0.2679 -1.402458e+00
0.2808 -1.743062e+00
