# Volts    uF/cm2
-0.5115 -4.202047e+00
-0.4885 -4.092708e+00
-0.4654 -3.982280e+00
-0.4423 -3.872530e+00
-0.4192 -3.762516e+00
-0.3962 -3.653272e+00
-0.3731 -3.544499e+00
-0.3500 -3.436234e+00
-0.3269 -3.328099e+00
-0.3038 -3.221289e+00
-0.2808 -3.114671e+00
-0.2577 -3.061537e+00
-0.2346 -2.903359e+00
-0.2115 -2.797467e+00
-0.1885 -2.693204e+00
-0.1654 -2.589551e+00
-0.1423 -2.485764e+00
-0.1192 -2.382789e+00
-0.0962 -2.280267e+00
-0.0731 -2.178565e+00
-0.0500 -2.077908e+00
-0.0269 -1.977434e+00
-0.0038 -1.877755e+00
0.0192 -1.780227e+00
0.0423 -1.683993e+00
0.0654 -1.589800e+00
0.0885 -1.498240e+00
0.1115 -1.410051e+00
0.1346 -1.326154e+00
0.1577 -1.247590e+00
0.1808 -1.175107e+00
0.2038 -1.110091e+00
0.2269 -1.051379e+00
0.2500 -9.993071e-01
0.2731 -9.531510e-01
0.2962 -9.124234e-01
0.3192 -8.769622e-01
0.3423 -8.475335e-01
0.3654 -8.254006e-01
